event_id,image_date,era5_temp_mean_c,era5_dewpoint_mean_c,era5_pressure_mean_pa,era5_u_wind_mean,era5_v_wind_mean,era5_precip_sum_mm,era5_runoff_sum_mm
FLASH_0120,2018-01-29,,,,,,,
FLASH_0127,2019-03-12,,,,,,,
HEAT_0014,2019-05-27,29.422739919026696,21.358854548136435,94839.3974609375,2.793294906616211,0.5552775065104166,0.0013058185577392578,8.001923561096191e-06
HEAT_0013,2019-05-30,33.9886349995931,13.797002410888695,94506.912109375,2.645484288533529,-2.3437275886535645,-5.1022652769461274e-09,2.5779008865356445e-06
FLASH_0128,2019-08-04,24.275079981486044,23.398506418863974,96925.01220703125,2.3762009938557944,-1.8192787170410156,0.023871728928895664,0.007002532482147217
FLASH_0129,2019-12-11,20.484510040283226,19.210035578409872,89820.09586588542,0.04282530148824056,0.18976394335428873,0.0121593177318573,0.004603862762451172
FLASH_0130,2019-12-30,26.141623433430993,24.472714996337913,100888.69352213542,-0.07621792952219646,0.031084140141805012,0.010842713713543617,0.004880741238594055
FLASH_0131,2020-01-18,25.383035278320335,23.348066584269247,99266.90755208333,0.009204864501953125,-0.3907131751378377,0.010503995418446266,0.007127940654754639
FLASH_0132,2020-02-29,22.452057774861657,20.75235837300619,92503.4697265625,-0.23352495829264322,-0.5433003107706705,0.007835766673053968,0.001121222972869873
FLASH_0133,2020-03-30,22.018910980224632,20.503540293375693,90793.58675130208,-0.06479708353678386,0.10221099853515625,0.03394484519958496,0.015558406710624695
FLASH_0134,2020-04-08,26.429504648844443,24.48695335388186,100934.71695963542,-0.05069096883138021,-0.21672209103902182,0.0146128863095214,0.003474801778793335
FLASH_0135,2020-05-19,20.05958709716799,19.35330162048342,87224.34065755208,0.2390644152959188,-0.06893853346506755,0.014196693897247314,0.00629076361656189
FLASH_0136,2020-06-10,25.381038920084677,23.858117039998376,100844.38916015625,-0.2792781591415405,0.8042355378468832,0.016859829425811768,0.010333657264709473
FLASH_0137,2020-07-17,25.01822115580245,21.854159927368187,92210.11653645833,-0.011325836181640625,0.6568042834599813,0.0020026385784248646,0.004790514707565308
FLASH_0138,2020-07-14,29.78328094482424,22.78422635396322,99158.7109375,0.2764536539713542,4.45365313688914,0.0004183977841307751,2.0697712898254395e-05
FLASH_0139,2020-07-30,,,,,,,
FLASH_0140,2020-08-17,22.99332707722982,22.4726552327474,95264.87809244792,0.10518288612365723,1.3488362630208333,0.027414983510823276,0.00648866593837738
FLASH_0141,2020-11-22,24.506280517578148,23.403455988566122,98519.2548828125,-0.8461685180664062,-0.028228123982747395,0.004909977316856384,0.002802535891532898
FLASH_0142,2020-12-10,23.027258173624716,22.06902211507162,94343.2177734375,1.3825314839680989,-1.2190608580907185,0.01476067304611206,0.0023280084133148193
FLASH_0143,2021-01-04,26.285493469238304,23.10753529866537,99815.68717447917,-1.7827404737472534,-2.267059326171875,0.0011345148086547852,0.0038980096578598022
FLASH_0144,2021-04-13,19.619006729126,17.857310867309593,96726.9404296875,-0.6389045715332031,-0.09974225362141927,0.0015935897827148438,0.00023652613162994385
FLASH_0145,2021-07-23,17.298654810587607,15.88515179951986,76847.87679036458,0.17531522115071616,0.15928765137990317,0.011194735765457153,0.00394400954246521
FLASH_0146,2021-08-16,25.644352849324548,23.592645263671898,99625.802734375,-0.05680974324544271,0.24054813385009766,0.022186517627481805,0.004690304398536682
FLASH_0147,2021-10-15,27.375109608968103,22.668813323974632,99303.17154947917,0.18781471252441406,-0.12114401658376057,2.5871395962440147e-05,0.002566233277320862
FLASH_0148,2021-11-01,24.29375546773275,22.255721028645837,97557.26692708333,-0.3281911214192708,0.6346370776494344,0.012531235814094543,0.00014285743236541748
FLASH_0149,2021-12-16,25.47388928731283,22.592876688639365,100115.73600260417,-0.6391620635986328,-1.234864314397176,0.001964619755710828,0.0017844736576080322
HEAT_0015,2022-02-28,25.144889450073265,7.801276143391931,98629.56477864583,-0.2739766438802083,-0.3690236409505208,8.52346317969932e-07,1.3500452041625977e-05
FLASH_0150,2022-04-01,25.94380149841311,22.786969121297204,100354.78971354167,-0.5351746877034506,0.0752090613047282,0.0017255038022945257,0.003140777349472046
FLASH_0151,2022-10-01,27.357471720377646,22.409197107950888,100334.115234375,-0.19660186767578125,-0.24432996908823648,0.0005137205123268984,0.0005422681570053101
HEAT_0016,2023-03-30,27.250206883748376,10.111098225911462,98286.59358723958,1.8529052734375,-1.434581955273946,0.0,5.048513412475586e-05
HEAT_0017,2023-03-29,24.19335072835287,12.890002187093103,99487.86295572917,2.6575393676757812,-1.217400352160136,7.438659565650596e-06,0.00014896690845489502
FLASH_0152,2023-06-25,27.049948628743493,25.77406717936202,98463.75374348958,3.8377068837483725,0.427709420522054,0.06372408185501399,0.011056646704673767
FLASH_0153,2023-07-30,24.13170649210616,21.80929082234701,88575.62548828125,0.12052329381306966,0.05304976304372152,0.028005504608152876,0.008089616894721985
